
2024/12/26 (17:46:49) | ===> btop++ v.1.4.0
2024/12/26 (17:46:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (17:48:23) | ===> btop++ v.1.4.0
2024/12/26 (17:48:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (17:48:54) | ===> btop++ v.1.4.0
2024/12/26 (17:48:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (21:00:41) | ===> btop++ v.1.4.0
2024/12/26 (21:00:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (22:01:15) | ===> btop++ v.1.4.0
2024/12/26 (22:01:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (20:44:54) | ===> btop++ v.1.4.0
2024/12/27 (20:44:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (18:54:51) | ===> btop++ v.1.4.0
2024/12/28 (18:54:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (21:24:45) | ===> btop++ v.1.4.0
2024/12/28 (21:24:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (21:26:37) | ===> btop++ v.1.4.0
2024/12/28 (21:26:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (21:28:18) | ===> btop++ v.1.4.0
2024/12/28 (21:28:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (23:07:44) | ===> btop++ v.1.4.0
2024/12/28 (23:07:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (10:42:33) | ===> btop++ v.1.4.0
2024/12/29 (10:42:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (14:10:10) | ===> btop++ v.1.4.0
2025/01/01 (14:10:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (17:11:14) | ===> btop++ v.1.4.0
2025/01/01 (17:11:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (16:59:57) | ===> btop++ v.1.4.0
2025/01/02 (16:59:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (17:03:34) | ===> btop++ v.1.4.0
2025/01/02 (17:03:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (08:19:37) | ===> btop++ v.1.4.0
2025/01/05 (08:19:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (21:18:58) | ===> btop++ v.1.4.0
2025/01/05 (21:18:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (15:47:05) | ===> btop++ v.1.4.0
2025/01/09 (15:47:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (19:30:24) | ===> btop++ v.1.4.0
2025/01/09 (19:30:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (10:08:06) | ===> btop++ v.1.4.0
2025/01/11 (10:08:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (01:01:04) | ===> btop++ v.1.4.0
2025/01/12 (01:01:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (11:37:16) | ===> btop++ v.1.4.0
2025/01/12 (11:37:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (15:25:36) | ===> btop++ v.1.4.0
2025/01/12 (15:25:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (13:14:53) | ===> btop++ v.1.4.0
2025/01/14 (13:14:53) | WARNING: Intel GPU: Failed to initialize PMU
